n°_training,trace,places,transitions,arcs,ext_cardoso,trace_1,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7
11,1586,8,10,20,9,"[884]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[179]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[134]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[59]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[33]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')",,
12,1624,8,10,20,9,"[908]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[185]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[134]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[59]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[34]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')",,
13,1807,8,10,20,9,"[972]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[193]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[181]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[59]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[40]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[36]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')",
14,1998,8,10,20,9,"[1069]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[194]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[194]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[64]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[40]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[37]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[37]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')"
15,2000,8,10,20,9,"[1071]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[194]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[194]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[64]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[40]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[37]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')",
16,2002,8,10,20,9,"[1072]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[194]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[194]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[64]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[40]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[37]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[37]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')"
17,2010,8,10,20,9,"[1078]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[194]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[194]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[64]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[40]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[38]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')",
18,2011,8,10,20,9,"[1078]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[194]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[194]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[64]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[40]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[38]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[37]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')"
19,2020,8,10,20,9,"[1085]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[195]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[194]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[64]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[40]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[38]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')",
20,2024,8,10,20,9,"[1088]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[195]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[194]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[64]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[40]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[38]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[38]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')"
21,2030,8,10,20,9,"[1091]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[197]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[194]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[64]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[40]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[38]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')",
22,2032,8,10,20,9,"[1092]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[197]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[194]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[64]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[40]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[39]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')",
23,2048,8,10,20,9,"[1103]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[197]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[194]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[64]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[40]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[40]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')","[38]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
24,2075,8,10,20,9,"[1118]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[202]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[195]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[64]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[41]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')","[40]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')",
25,2076,8,10,20,9,"[1118]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[202]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[195]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[64]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[41]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')","[40]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[38]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
26,2090,8,10,20,9,"[1129]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[202]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[195]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[64]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[42]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')","[40]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')",
27,2094,8,10,20,9,"[1131]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[203]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[195]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[64]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[42]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')","[40]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[38]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
28,2111,8,10,20,9,"[1140]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[203]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[195]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[64]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[44]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')","[40]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[39]('Assign seriousness', 'Resolve ticket', 'Closed')"
29,2160,8,10,20,8,"[1169]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[204]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[196]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[64]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[51]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')","[44]('Assign seriousness', 'Resolve ticket', 'Closed')",
30,2162,8,10,20,9,"[1170]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[204]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[196]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[64]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[51]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')","[44]('Assign seriousness', 'Resolve ticket', 'Closed')","[40]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
31,2219,8,10,20,8,"[1196]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[205]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[197]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[66]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[63]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')","[47]('Assign seriousness', 'Resolve ticket', 'Closed')","[40]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
32,2330,8,10,20,8,"[1253]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[206]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[198]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[85]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')","[66]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[56]('Assign seriousness', 'Resolve ticket', 'Closed')",
33,2331,8,10,20,8,"[1253]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[206]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[198]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[85]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')","[66]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[56]('Assign seriousness', 'Resolve ticket', 'Closed')","[40]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
34,2453,8,11,22,9,"[1313]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[207]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[202]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[94]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')","[67]('Assign seriousness', 'Resolve ticket', 'Closed')","[66]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[41]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Resolve ticket', 'Closed')"
35,3020,7,9,18,8,"[1657]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[213]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[211]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[150]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')","[106]('Assign seriousness', 'Resolve ticket', 'Closed')","[79]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Resolve ticket', 'Closed')",
36,4518,8,11,22,9,"[2356]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[529]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')","[229]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[227]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[164]('Assign seriousness', 'Resolve ticket', 'Closed')","[109]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Resolve ticket', 'Closed')","[69]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
37,4520,7,9,18,8,"[2358]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[529]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')","[229]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[227]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[164]('Assign seriousness', 'Resolve ticket', 'Closed')","[109]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Resolve ticket', 'Closed')",
38,4521,8,11,22,9,"[2358]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[529]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')","[229]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[227]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[164]('Assign seriousness', 'Resolve ticket', 'Closed')","[109]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Resolve ticket', 'Closed')","[69]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
